Graph_Size,Baseline_Latency_ms,ShadowCut_Latency_ms
1000,15.68020600007003,0.695831000484759
2000,53.76116600018577,0.23343500015471363
3000,78.67468599943095,0.23852699996496085
4000,138.76325199998973,0.2686099996935809
5000,173.95685500014224,0.2794350002659485
